,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Neural Network (MLP)
10317,0,4,1,4,4,1,4,4,5,3,5,4,1,0
10322,1,4,0,5,5,1,5,5,4,5,5,4,1,0
10388,0,4,0,4,2,0,4,4,4,4,1,3,1,0
10398,0,4,1,4,5,0,5,5,3,3,3,2,0,1
10426,1,4,0,4,3,1,3,3,3,2,3,4,1,0
10428,0,3,0,3,3,2,2,1,3,3,1,1,1,0
10453,1,4,0,4,4,1,1,1,4,4,1,4,1,0
10499,0,4,0,3,3,2,4,4,2,2,4,4,1,0
10570,0,4,0,4,4,2,2,4,4,4,5,3,0,1
10571,0,3,0,4,3,0,3,3,4,4,3,4,1,0
10595,1,4,0,2,4,1,4,4,2,4,4,4,1,0
10635,0,2,1,2,4,0,5,4,1,1,5,5,1,0
10657,1,4,0,5,3,1,2,3,1,1,3,5,1,0
10669,1,4,0,4,4,1,4,5,4,4,5,1,1,0
10699,1,4,0,4,2,1,4,4,4,4,4,4,1,0
10719,1,4,0,4,3,1,5,1,4,3,5,4,1,0
10756,1,4,0,4,1,2,4,3,4,4,3,4,1,0
10760,0,4,1,4,4,1,3,4,5,5,4,3,0,1
10778,0,4,0,4,4,1,4,4,3,4,4,4,0,1
10795,0,4,1,4,3,0,4,5,2,2,4,3,1,0
10799,0,4,0,3,4,1,4,4,3,3,4,4,1,0
10824,0,4,0,4,4,0,3,3,4,4,3,3,0,1
10826,1,4,0,4,4,1,3,3,5,5,4,2,1,0
10855,1,4,0,1,5,1,2,4,2,1,2,4,1,0
10856,0,4,1,4,5,0,5,4,3,3,5,4,0,1
10859,1,4,0,4,5,1,5,5,1,1,5,3,1,0
10888,0,4,1,4,4,0,4,4,4,4,3,4,0,1
10980,0,4,1,3,4,0,4,5,2,2,5,4,0,1
10983,0,4,0,4,3,1,3,3,5,5,4,5,0,1
10989,0,4,1,4,3,1,4,5,4,4,5,2,0,1
10991,1,4,0,3,3,1,4,4,3,3,3,1,0,1
11072,0,4,1,5,4,1,5,5,4,4,5,5,1,0
11126,0,2,1,2,3,0,4,4,1,1,3,2,1,0
11137,0,4,0,4,4,1,3,3,4,4,1,1,1,0
11143,1,4,0,2,2,1,5,4,2,2,5,4,1,0
11148,1,4,0,4,2,1,3,2,3,3,2,5,1,0
11150,0,5,0,4,4,0,3,3,5,5,3,5,0,1
11159,0,3,0,2,2,1,3,3,4,3,3,3,1,0
11293,0,3,0,4,4,1,2,3,3,3,4,1,1,0
11304,0,2,0,3,4,0,2,2,2,3,2,2,1,0
11315,0,3,1,3,5,0,5,4,5,5,4,5,1,0
11318,1,4,0,0,2,1,4,4,2,2,1,4,0,1
11326,0,3,0,1,4,1,3,3,2,3,3,3,1,0
11329,1,4,0,4,5,1,5,5,1,1,3,5,1,0
11374,0,4,1,4,3,1,1,1,4,4,4,4,1,0
11389,0,4,0,4,2,1,3,3,4,4,1,1,1,0
11414,0,5,0,4,2,0,3,4,5,5,2,5,0,1
11416,1,4,0,4,3,1,4,5,5,5,5,2,1,0
11434,0,3,0,4,2,0,3,3,2,1,3,4,1,0
11445,0,2,0,4,1,0,4,3,3,3,4,4,1,0
11469,0,4,1,4,3,1,2,2,4,4,4,3,1,0
11616,0,4,0,4,1,1,2,2,3,3,1,3,0,1
11622,0,2,0,3,4,0,2,2,4,3,2,2,1,0
11639,1,4,0,1,1,1,3,5,1,1,5,4,1,0
11650,1,4,0,4,1,0,4,3,2,1,1,5,1,0
11665,0,4,1,4,3,2,4,5,1,2,5,5,0,1
11706,1,4,0,5,5,1,5,3,5,4,5,4,1,0
11747,1,4,0,4,4,1,5,4,3,3,4,3,1,0
11811,0,4,0,4,3,1,4,4,3,2,4,4,1,0
11816,1,4,0,4,5,1,4,5,1,1,4,2,1,0
11845,0,4,0,2,2,0,4,4,4,1,4,4,1,0
11856,0,4,0,4,3,1,4,4,4,2,4,4,1,0
11888,1,4,0,4,4,1,3,3,2,2,4,4,1,0
11905,0,4,0,4,3,1,2,2,4,4,4,2,1,0
11915,0,3,0,3,4,0,4,4,3,3,3,4,1,0
11975,0,4,0,3,1,2,4,4,2,3,4,4,1,0
11978,1,4,0,4,5,1,5,4,4,4,5,3,1,0
12036,0,4,1,4,5,0,4,4,5,5,3,2,0,1
12037,0,4,1,4,5,1,3,4,3,3,2,1,1,0
12075,0,4,0,4,3,2,4,4,4,4,4,4,1,0
12096,0,4,0,4,4,1,4,4,4,4,4,2,1,0
12105,0,4,1,4,4,0,5,4,5,5,4,4,0,1
12157,0,4,1,4,2,1,3,5,1,1,4,1,0,1
12219,1,4,0,4,3,1,4,4,5,5,5,3,1,0
12301,0,4,1,4,3,0,5,5,2,2,3,2,1,0
12336,0,4,0,4,2,2,2,2,4,4,1,2,0,1
12371,0,5,0,3,3,0,5,5,2,3,5,4,0,1
12376,0,2,0,2,2,1,3,1,2,2,3,3,1,0
12449,0,4,0,2,3,0,4,4,4,3,4,4,1,0
12450,0,3,0,4,3,0,3,3,4,3,3,3,1,0
12514,1,4,0,3,1,2,4,4,3,4,4,2,1,0
12526,0,4,1,4,5,0,5,5,4,4,5,3,1,0
12543,0,4,1,4,5,1,4,4,2,2,5,2,0,1
12548,0,4,0,2,1,1,4,4,2,3,4,4,1,0
12554,1,4,0,3,1,1,4,4,5,1,4,4,1,0
12569,1,4,0,2,2,1,3,3,3,3,3,4,0,1
12572,0,3,0,3,3,2,2,2,3,3,1,2,1,0
12575,0,3,0,4,1,0,3,3,3,5,3,3,1,0
12608,1,4,0,4,3,0,4,4,1,4,3,4,1,0
12614,1,4,0,3,5,1,5,4,3,3,4,2,1,0
12628,1,4,0,4,5,1,4,5,1,3,3,3,1,0
12633,0,2,0,3,4,0,2,2,4,3,2,2,1,0
12644,0,5,0,3,4,0,5,5,4,4,5,4,0,1
12689,0,4,1,4,4,1,4,5,4,4,5,4,0,1
12697,0,4,0,4,2,1,4,4,5,5,3,3,0,1
12732,0,2,1,2,3,0,4,4,1,1,4,5,1,0
12736,0,4,1,4,5,0,5,5,3,3,5,5,0,1
12773,1,4,0,4,4,1,1,2,3,3,3,3,1,0
12823,1,4,0,4,5,1,5,5,2,2,4,5,1,0
12863,1,4,0,4,1,0,4,4,4,3,4,4,1,0
12871,0,4,0,4,2,1,2,3,4,4,3,3,0,1
12881,0,2,0,4,3,0,2,2,4,4,2,2,1,0
12886,0,4,1,4,5,1,5,1,4,4,4,4,0,1
12938,0,3,0,3,3,1,3,3,4,3,3,3,1,0
12971,1,4,0,4,4,1,4,4,2,2,2,4,1,0
13032,1,4,0,4,2,1,4,3,4,3,3,3,1,0
13034,0,2,0,3,3,1,2,2,2,3,2,2,1,0
13041,1,4,0,4,5,1,4,4,5,5,4,4,1,0
13085,0,3,0,3,4,1,3,4,3,3,3,2,1,0
13090,0,4,1,5,4,0,5,5,3,3,4,3,0,1
13110,1,4,0,4,3,1,3,3,3,2,1,5,1,0
13117,1,4,0,4,2,1,5,5,3,3,2,4,1,0
13144,0,4,1,4,5,1,4,5,3,5,5,4,0,1
13180,0,3,0,4,2,1,3,3,3,5,3,3,1,0
13203,0,3,0,3,3,2,3,2,3,3,1,1,1,0
13244,0,2,0,4,2,0,4,4,2,4,2,4,0,1
13253,1,4,0,5,5,1,4,4,4,3,4,5,1,0
13254,1,4,0,1,2,1,3,3,2,2,1,3,1,0
13324,1,4,0,0,1,1,2,2,2,2,3,1,1,0
13358,1,4,0,4,3,1,4,4,3,2,5,4,1,0
13388,0,5,0,2,1,0,1,5,2,1,1,2,0,1
13425,0,4,1,4,5,0,4,5,1,1,4,5,0,1
13444,0,4,1,3,3,0,4,4,5,2,3,2,0,1
13474,0,4,1,4,5,1,5,5,2,3,4,5,1,0
13534,1,4,0,4,1,2,3,3,2,2,1,1,1,0
13563,0,2,0,2,1,2,2,2,3,5,2,2,1,0
13565,0,3,1,3,4,0,4,4,1,1,5,4,1,0
13592,0,4,1,4,4,1,4,3,2,2,1,1,1,0
13595,0,3,0,4,1,0,3,3,2,1,3,4,1,0
13601,0,4,0,4,4,0,3,4,4,4,5,4,1,0
13615,0,4,1,4,3,0,1,3,1,1,5,3,1,0
13640,1,4,0,4,5,1,5,4,5,4,5,3,1,0
13660,0,4,0,4,1,2,3,3,5,4,3,2,1,0
13717,0,4,1,4,3,1,2,2,5,1,3,4,1,0
13748,0,4,0,2,3,1,4,4,2,3,4,4,1,0
13772,1,4,0,3,1,1,4,3,4,5,2,3,1,0
13784,0,4,1,4,4,0,5,4,4,4,4,5,0,1
13785,0,5,0,4,3,1,4,3,5,5,2,5,0,1
13802,0,4,1,4,4,0,3,3,4,4,4,2,0,1
13803,0,4,0,4,1,1,4,3,4,4,3,2,1,0
13837,0,2,0,2,4,0,4,4,2,2,4,4,0,1
13843,0,4,1,4,2,1,3,5,2,5,1,1,0,1
13912,0,4,0,4,3,1,2,3,4,4,3,5,1,0
13943,0,4,1,4,2,1,5,2,4,3,5,1,0,1
13957,0,4,0,3,1,1,4,4,4,2,4,4,1,0
14006,0,2,0,3,3,0,4,4,2,2,4,3,0,1
14020,0,4,0,4,2,1,3,2,4,4,3,4,0,1
14023,0,4,0,2,4,0,3,3,4,1,3,3,1,0
14132,0,3,0,3,1,1,1,1,4,4,2,4,1,0
14306,0,4,0,3,3,0,4,4,3,4,4,4,1,0
14371,1,4,0,4,4,2,4,5,5,5,3,2,1,0
14372,0,4,0,2,1,1,4,4,2,3,4,4,1,0
14391,0,4,0,4,3,1,3,1,4,4,4,4,0,1
14392,0,4,1,4,4,0,5,4,1,1,4,5,0,1
14403,0,4,0,4,3,1,3,4,4,4,1,3,1,0
14429,0,4,1,4,5,0,4,4,1,1,5,4,0,1
14487,0,3,1,3,3,0,4,5,2,2,3,5,1,0
14514,0,4,1,4,4,0,4,4,4,4,4,4,0,1
14519,0,4,1,4,5,1,5,2,2,2,3,4,0,1
14523,0,4,1,5,3,1,5,5,2,2,5,5,1,0
14530,0,5,0,4,2,0,3,4,5,5,2,3,0,1
14531,0,4,1,5,5,0,4,4,3,3,5,5,0,1
14563,0,4,1,4,3,0,4,5,1,1,4,2,0,1
14568,0,4,0,4,4,1,4,3,4,4,5,4,0,1
14614,0,4,0,2,1,2,4,4,3,4,4,4,1,0
14623,1,4,0,5,5,0,5,3,4,4,5,4,1,0
14653,0,4,1,4,5,1,5,5,1,1,3,5,0,1
14670,0,3,0,3,4,0,4,4,3,2,4,4,1,0
14714,0,2,0,4,1,2,2,2,4,4,2,2,1,0
14729,1,4,0,4,4,1,4,3,4,4,3,2,1,0
14744,0,4,0,4,3,1,2,3,4,4,4,2,0,1
14772,1,4,0,4,2,1,2,2,4,4,2,1,1,0
14782,0,4,1,4,2,0,5,2,1,1,4,4,0,1
14790,1,4,0,4,5,1,2,1,3,4,4,5,1,0
14800,0,4,0,4,3,0,4,4,4,3,4,4,0,1
14827,1,4,0,4,3,1,4,4,5,5,5,4,1,0
14833,0,1,0,3,4,0,2,2,1,2,2,2,1,0
14835,0,4,0,4,4,0,3,2,4,4,4,3,0,1
14836,0,4,1,3,5,1,2,1,3,3,3,3,0,1
14861,1,4,0,4,3,1,5,5,3,3,3,4,1,0
14870,0,4,1,3,3,0,3,5,3,3,3,3,0,1
14901,0,4,0,4,4,0,2,3,4,4,2,2,1,0
14920,0,4,0,4,4,2,2,3,4,4,2,1,1,0
14933,1,4,0,3,2,0,4,4,5,1,4,4,1,0
14949,0,4,1,4,3,0,4,5,4,2,5,2,1,0
14980,0,3,0,3,3,0,3,3,3,3,3,3,1,0
15029,1,4,0,2,1,1,2,2,3,4,2,4,1,0
15052,0,4,1,4,5,1,5,4,2,2,3,5,0,1
15108,0,4,1,4,1,1,3,3,3,3,5,4,1,0
15135,0,3,1,3,4,0,4,4,5,5,4,2,1,0
15150,1,4,0,4,4,1,3,2,4,4,1,3,1,0
15156,1,4,0,4,4,1,5,4,5,5,5,4,1,0
15159,0,4,0,3,1,1,3,3,2,4,3,4,1,0
15169,1,4,0,4,1,2,2,1,2,2,4,1,1,0
15208,1,4,0,2,4,1,5,5,1,1,3,2,1,0
15210,0,3,1,3,3,0,4,3,1,1,3,3,1,0
15234,0,1,0,3,4,0,4,4,1,3,1,2,0,1
15257,0,2,0,2,2,1,3,3,2,2,5,3,1,0
15258,1,4,0,4,3,1,5,5,3,3,3,5,1,0
15269,1,4,0,4,5,1,5,4,1,1,5,3,1,0
15334,0,4,1,1,1,0,5,4,1,1,3,4,0,1
15344,0,2,0,2,3,2,2,2,2,4,2,2,1,0
15348,0,2,0,3,1,1,2,2,2,2,2,2,1,0
15425,1,4,0,4,3,1,3,3,3,3,2,2,1,0
15504,1,4,0,4,2,1,1,2,2,2,3,2,1,0
15506,0,4,1,4,4,0,1,4,3,4,2,4,0,1
15514,1,4,0,4,5,1,5,4,1,1,4,2,1,0
15528,0,4,1,3,5,0,4,4,3,2,4,4,0,1
15549,1,4,0,4,3,1,4,4,3,3,3,4,1,0
15554,0,2,1,2,4,0,5,4,5,5,5,2,1,0
15571,0,4,1,4,5,0,4,4,4,4,3,5,0,1
15636,0,4,1,4,4,0,5,4,1,1,5,4,1,0
15658,0,4,1,3,4,0,4,4,2,2,2,4,0,1
15667,0,3,0,2,3,0,3,4,3,3,3,4,1,0
15670,0,3,1,3,3,1,5,2,5,5,4,2,1,0
15680,0,2,0,2,2,1,2,4,2,2,5,2,0,1
15705,0,4,1,4,5,1,5,5,1,1,3,2,0,1
15745,0,4,0,4,3,1,4,4,4,4,1,2,1,0
15747,0,2,1,3,3,0,5,5,2,3,5,2,1,0
15777,0,5,0,4,2,0,4,3,5,5,4,4,0,1
15784,0,4,1,4,4,1,1,3,4,4,2,4,0,1
15803,0,4,1,4,2,1,2,3,3,4,5,3,1,0
15820,1,4,0,4,3,2,4,5,1,1,4,2,1,0
15833,0,4,0,3,3,2,5,5,2,4,5,4,0,1
15835,1,4,0,3,3,2,2,2,3,1,2,4,1,0
15927,0,4,0,4,2,2,4,4,4,4,1,3,1,0
15933,1,4,0,4,1,1,1,4,1,1,1,2,1,0
15943,0,4,0,4,2,2,2,2,4,4,2,2,0,1
15969,1,4,0,3,4,1,3,3,3,4,3,4,1,0
15976,1,4,0,4,3,1,3,4,5,4,1,4,1,0
16052,0,4,0,4,1,1,3,3,4,4,3,5,1,0
16058,0,4,1,4,4,1,4,2,2,2,2,3,1,0
16086,0,4,1,4,5,0,5,5,3,3,4,2,1,0
16101,0,3,0,3,3,1,1,3,4,4,1,5,1,0
16146,0,1,0,2,4,0,1,2,2,2,1,3,1,0
16193,1,4,0,5,3,1,4,4,5,5,3,5,1,0
16198,1,4,0,4,3,1,4,4,1,1,4,3,1,0
16199,0,4,0,3,4,0,4,4,2,4,4,4,1,0
16212,0,4,1,4,5,0,5,4,4,4,3,2,0,1
16219,1,4,0,3,4,1,1,1,4,1,1,4,1,0
16246,1,4,0,4,2,1,4,3,3,3,4,5,1,0
16257,0,2,0,4,3,0,2,2,4,4,2,3,0,1
16262,1,4,0,4,4,1,3,4,5,5,3,3,1,0
16264,1,4,0,2,4,1,4,4,2,1,4,5,1,0
16402,1,4,0,4,3,1,3,4,5,5,1,2,1,0
16422,0,4,0,3,1,0,4,4,4,3,4,4,1,0
16502,0,4,1,4,4,0,5,5,3,3,4,2,0,1
16506,0,4,0,4,2,1,4,4,3,2,4,4,1,0
16531,1,4,0,4,3,1,3,4,5,5,4,3,1,0
16532,0,5,0,4,3,0,3,4,5,5,2,4,0,1
16608,1,4,0,4,4,1,4,3,3,3,5,4,1,0
16649,1,4,0,4,5,1,4,5,2,2,4,5,1,0
16696,0,4,0,4,4,2,2,2,4,4,4,3,1,0
16732,0,4,1,4,2,1,5,3,4,4,2,5,1,0
16733,1,4,0,4,3,1,5,4,5,5,4,3,1,0
16761,0,4,1,4,4,0,5,5,5,4,4,2,1,0
16795,0,4,0,3,3,0,4,4,3,3,3,4,1,0
16798,0,4,1,4,5,0,5,4,4,4,3,2,0,1
16799,1,4,0,4,2,1,2,4,1,1,5,1,1,0
16808,0,4,0,4,4,1,5,5,3,3,5,4,0,1
16826,0,3,0,3,1,1,4,4,3,3,2,3,1,0
16827,0,4,1,4,5,1,4,5,5,2,4,3,1,0
16843,0,4,0,4,4,1,1,3,4,4,3,3,0,1
16870,0,4,0,4,1,1,4,4,5,5,2,4,0,1
16912,0,4,1,4,3,0,4,5,3,3,5,5,0,1
16914,0,4,0,4,4,1,3,3,4,4,1,4,1,0
16925,0,4,1,4,4,0,5,5,5,5,5,2,1,0
17003,0,5,0,4,3,0,5,5,4,4,5,4,0,1
17021,1,4,0,5,3,1,5,4,4,1,5,2,1,0
17024,0,4,0,4,2,1,4,2,2,4,4,4,0,1
17040,1,4,0,4,3,1,1,1,4,2,1,5,1,0
17048,0,4,0,4,3,0,3,3,4,4,3,4,1,0
17057,0,4,1,4,4,1,2,5,2,2,4,2,1,0
17074,0,4,1,4,2,1,2,5,2,4,2,3,0,1
17092,0,4,1,4,1,1,2,4,5,5,3,1,1,0
17128,0,4,1,4,3,0,5,4,4,4,5,4,0,1
17141,1,4,0,4,4,1,5,5,1,1,3,2,1,0
17151,0,4,0,2,2,0,4,4,2,4,4,4,1,0
17182,0,4,1,4,2,1,1,4,2,2,2,5,1,0
17201,0,4,1,3,5,0,5,5,1,1,5,4,1,0
17204,1,4,0,5,3,1,5,5,5,3,5,4,1,0
17206,0,4,1,4,3,1,2,2,1,1,2,2,1,0
17225,0,4,1,4,2,1,5,4,2,2,3,2,1,0
17252,1,4,0,4,2,1,1,1,3,2,1,4,1,0
17264,1,4,0,5,3,2,5,4,1,1,3,2,1,0
17314,0,4,1,4,3,0,5,5,2,2,5,3,0,1
17348,0,3,0,3,2,0,1,4,2,2,3,4,0,1
17362,0,4,0,4,1,1,2,1,1,4,4,4,0,1
17363,0,2,0,2,1,1,4,2,2,2,5,1,1,0
17365,0,4,1,4,4,0,1,4,5,2,1,3,1,0
17395,1,4,0,3,2,1,3,3,5,1,3,4,1,0
17426,0,3,1,3,4,0,5,4,1,1,4,4,1,0
17470,0,4,0,4,3,1,3,4,4,4,3,4,1,0
17478,1,4,0,4,3,1,3,3,4,5,3,4,1,0
17495,0,2,1,2,5,1,5,5,5,5,3,4,1,0
17528,0,4,0,4,4,0,3,2,4,4,2,2,0,1
17533,0,4,1,3,4,0,5,5,1,1,3,4,1,0
17544,1,4,0,4,4,1,4,3,3,3,3,5,1,0
17554,0,4,0,4,4,0,2,3,4,4,4,5,1,0
17573,1,4,0,4,1,2,3,4,4,4,4,5,1,0
17631,0,2,0,4,1,1,2,2,2,1,2,2,1,0
17638,1,4,0,4,3,0,5,5,3,3,5,2,1,0
17655,0,4,1,4,3,0,5,4,1,1,4,2,1,0
17663,0,4,1,4,5,0,5,5,3,3,5,2,1,0
17667,1,4,0,4,3,0,5,4,5,5,5,5,1,0
17769,0,3,0,4,3,0,3,3,4,4,3,4,1,0
17770,1,4,0,4,5,1,5,4,3,3,4,2,1,0
17820,1,4,0,3,5,1,5,4,4,4,5,3,1,0
17830,1,4,0,4,5,1,1,1,4,1,1,4,1,0
17842,1,4,0,2,1,0,3,3,2,1,3,4,0,1
17843,1,4,0,4,5,1,4,5,5,4,3,4,1,0
17850,0,4,0,3,4,1,4,4,3,3,4,4,1,0
17867,1,4,0,0,3,1,5,4,4,2,5,2,1,0
17921,0,4,0,4,4,0,2,4,4,4,2,3,0,1
17936,0,2,0,1,3,1,2,2,2,2,2,2,1,0
17951,0,4,0,3,1,0,4,4,3,1,4,4,1,0
17959,1,4,0,4,4,1,5,5,5,5,5,4,1,0
17984,1,4,0,3,5,1,4,4,5,5,4,4,1,0
17987,0,4,0,4,2,1,3,3,4,4,2,1,1,0
18058,1,4,0,4,5,1,5,5,3,3,3,2,1,0
18059,0,4,1,4,3,1,4,4,3,3,3,3,1,0
18078,0,3,1,3,5,0,4,4,4,4,4,3,1,0
18092,0,4,1,4,3,0,4,4,3,3,3,3,0,1
18131,1,4,0,4,3,1,3,3,3,2,3,4,1,0
18137,0,4,1,3,2,1,4,1,5,5,3,1,1,0
18144,0,4,0,4,4,0,4,4,4,4,4,2,1,0
18147,1,4,0,4,5,1,4,5,1,1,4,5,1,0
18163,0,3,0,3,3,1,2,1,3,3,1,2,1,0
18164,0,4,0,4,3,1,4,4,3,3,4,4,1,0
18194,0,4,1,4,3,0,5,5,1,1,3,3,1,0
18226,0,3,0,3,2,0,3,2,3,3,2,1,1,0
18229,0,4,0,2,2,0,3,3,3,2,3,3,1,0
18258,1,4,0,4,5,1,5,4,1,1,5,5,1,0
18273,0,4,1,5,3,0,2,4,4,4,1,5,1,0
18289,0,4,1,4,1,1,3,4,3,5,3,2,1,0
18290,0,4,0,3,1,0,3,3,3,4,3,4,1,0
18305,0,3,0,4,3,1,4,4,4,1,4,3,1,0
18368,1,4,0,5,4,1,4,4,4,3,4,4,1,0
18470,0,4,1,4,3,0,5,4,2,2,4,5,0,1
18488,0,4,1,4,5,1,4,4,1,1,5,5,1,0
18540,0,4,0,2,2,0,4,4,1,4,4,3,0,1
18578,0,2,1,2,5,1,5,2,2,2,4,3,1,0
18627,1,4,0,4,5,1,4,4,4,4,3,4,1,0
18672,0,4,1,4,3,1,4,3,3,3,5,2,1,0
18686,1,4,0,4,5,1,1,2,4,4,3,1,1,0
18718,1,4,0,4,5,1,4,4,2,2,4,5,1,0
18785,0,4,1,4,5,0,4,5,5,5,4,3,0,1
18816,0,4,1,4,4,1,3,2,3,3,5,5,1,0
18817,1,4,0,4,4,1,2,2,2,2,4,1,1,0
18821,1,4,0,4,5,1,5,4,2,2,3,2,1,0
18842,0,4,0,1,4,1,4,4,2,4,4,4,0,1
18862,0,4,1,4,5,0,5,5,4,4,5,4,0,1
18870,0,4,0,4,3,2,3,4,1,4,4,4,0,1
18936,0,4,1,4,5,1,4,5,1,1,3,5,0,1
18943,0,4,1,4,3,0,4,5,2,3,3,3,0,1
18995,0,2,0,2,4,2,2,1,2,2,2,3,1,0
19031,0,4,1,4,4,0,4,5,2,2,4,4,0,1
19043,0,4,0,4,4,0,2,1,4,4,1,1,0,1
19044,1,4,0,4,4,1,5,4,2,2,3,2,1,0
19057,0,4,0,4,4,1,4,4,4,4,4,4,0,1
19120,0,2,1,2,4,1,5,4,1,5,5,4,1,0
19151,0,4,1,4,3,1,4,4,2,3,4,3,1,0
19178,0,4,1,4,5,0,5,4,2,2,4,4,0,1
19202,0,2,1,2,1,1,5,4,5,3,4,3,1,0
19237,0,4,0,4,4,1,3,2,4,4,2,2,0,1
19290,0,2,0,1,1,1,2,2,3,2,2,2,1,0
19311,1,4,0,4,5,1,4,3,3,3,5,5,1,0
19377,1,4,0,5,4,1,4,4,2,2,2,1,0,1
19379,0,3,1,3,2,1,1,3,3,3,4,4,1,0
19406,0,3,1,3,5,1,4,2,3,3,5,4,1,0
19427,0,1,0,3,4,0,2,1,3,3,3,1,1,0
19457,0,5,0,4,1,1,4,4,5,5,1,1,1,0
19518,1,4,0,4,4,1,4,4,3,3,5,3,1,0
19538,0,4,0,4,4,1,2,2,4,4,3,3,1,0
19547,0,4,0,4,3,1,3,2,4,4,4,5,0,1
19573,1,4,0,4,3,1,2,2,4,3,2,4,1,0
19578,0,4,1,4,3,0,4,5,4,4,3,3,0,1
19593,1,4,0,3,3,1,5,2,1,1,5,3,1,0
19607,0,4,0,4,3,1,3,4,4,4,1,1,1,0
19628,0,2,1,2,4,2,4,3,2,2,4,4,1,0
19631,0,4,0,3,3,0,4,4,3,2,4,4,1,0
19669,0,2,0,2,2,0,3,4,2,2,5,4,0,1
19728,0,4,1,4,4,0,4,4,2,2,5,2,0,1
19733,0,4,0,4,3,1,1,1,1,4,3,4,0,1
19781,0,4,1,4,4,0,4,5,1,1,5,3,0,1
19788,0,4,1,4,5,0,4,4,3,3,3,4,0,1
19802,1,4,0,4,2,1,4,4,3,3,4,4,1,0
19819,1,4,0,2,4,0,3,3,3,2,3,5,1,0
19853,0,4,1,4,5,0,5,5,3,3,5,5,0,1
19913,1,4,0,4,5,1,4,4,5,5,4,3,1,0
19924,0,2,0,4,3,0,3,3,2,4,4,5,0,1
20051,0,3,0,3,3,0,4,4,3,3,4,4,1,0
20052,1,4,0,4,3,1,5,5,5,5,3,5,1,0
20064,1,4,0,1,3,1,3,3,5,5,1,4,1,0
20133,0,3,0,3,1,2,4,2,3,3,5,3,1,0
20175,0,4,1,4,3,1,4,5,4,4,3,5,0,1
20180,0,4,1,4,4,1,1,5,5,5,3,1,0,1
20249,0,4,1,4,3,0,5,5,4,4,4,4,0,1
20250,0,4,1,4,3,1,5,2,4,4,4,4,1,0
20271,0,4,1,4,5,0,5,5,4,4,5,5,0,1
20355,0,4,0,4,4,1,2,4,4,4,4,4,1,0
20372,1,4,0,4,4,1,4,5,5,5,4,2,1,0
20376,0,4,1,4,3,0,5,5,2,5,3,3,0,1
20407,0,3,1,3,5,0,4,4,4,4,3,3,1,0
20474,0,4,0,4,1,1,4,4,4,4,5,3,1,0
20521,1,4,0,5,5,1,5,5,4,5,5,4,1,0
20574,1,4,0,4,4,1,2,2,5,3,2,4,1,0
20577,0,4,1,4,4,0,4,4,3,3,5,2,0,1
20578,0,1,0,3,3,0,5,1,4,3,5,0,0,1
20587,0,4,1,4,5,1,4,2,3,3,3,3,1,0
20596,0,4,0,4,3,1,4,3,5,5,2,5,0,1
20597,1,4,0,0,3,1,4,5,3,2,3,5,0,1
20608,0,2,0,3,1,0,3,3,3,3,1,4,1,0
20647,1,4,0,5,3,1,4,5,3,3,4,3,1,0
20653,1,4,0,4,3,2,4,4,3,3,3,4,1,0
20656,0,4,1,3,1,1,4,4,5,5,2,1,1,0
20669,0,4,1,4,3,0,5,4,4,3,5,5,0,1
20716,0,4,0,4,4,0,1,3,4,4,4,4,1,0
20755,0,4,0,4,1,1,4,4,4,3,4,4,1,0
20785,0,2,0,4,3,0,2,2,4,3,2,2,1,0
20795,0,4,0,4,2,1,2,3,4,4,1,3,0,1
20818,0,4,1,4,4,0,4,4,5,5,5,2,0,1
20824,0,3,0,4,4,0,3,3,4,4,3,2,1,0
20862,1,4,0,4,3,1,3,5,2,2,4,5,1,0
20895,0,5,0,4,3,2,3,4,5,5,1,2,0,1
20963,1,4,0,4,3,1,5,5,5,5,4,4,1,0
20970,1,4,0,4,3,1,1,1,4,4,1,5,1,0
20991,0,3,0,3,1,1,3,3,5,3,3,3,1,0
20994,0,4,0,2,1,1,3,3,1,3,3,4,1,0
21012,1,4,0,0,5,1,1,4,3,3,5,5,1,0
21051,0,4,0,3,1,1,4,4,2,3,4,4,1,0
21090,0,4,1,4,5,0,5,5,3,3,4,5,0,1
21112,0,4,0,4,3,0,3,3,4,4,3,3,1,0
21122,1,4,0,4,4,1,5,5,1,1,4,2,1,0
21138,0,4,0,2,2,2,4,4,3,3,4,4,1,0
21155,0,4,1,4,5,0,4,4,2,2,3,3,0,1
21163,1,4,0,4,5,1,4,5,5,5,3,5,1,0
21168,0,4,1,4,4,0,5,5,4,4,3,5,0,1
21191,0,2,0,2,3,0,2,2,3,2,2,2,1,0
21195,0,4,0,4,4,0,4,4,3,3,3,3,1,0
21227,0,4,0,4,3,1,4,4,3,2,4,4,1,0
21260,0,4,1,4,3,1,4,4,5,5,2,2,1,0
21290,0,4,1,4,3,1,5,4,1,1,5,5,1,0
21299,0,4,1,4,5,0,5,5,1,1,3,5,0,1
21363,0,4,1,4,4,0,3,3,4,4,4,3,0,1
21367,0,4,0,4,1,0,2,2,4,4,3,2,0,1
21377,0,1,0,1,1,0,4,3,1,1,4,4,1,0
21394,0,4,1,4,2,1,2,3,4,4,3,4,1,0
