,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Naive Bayes (GaussianNB)
3496,1,4,0,4,3,1,5,5,3,3,4,4,1,0
3498,0,4,0,4,4,1,1,3,4,4,3,4,0,1
3521,0,4,0,4,4,1,4,3,4,4,3,3,0,1
3543,0,4,1,3,5,1,4,4,2,2,4,5,1,0
3555,0,4,0,4,2,1,4,4,4,2,4,4,0,1
3562,0,0,0,0,5,2,1,1,5,5,5,1,1,0
3567,0,3,0,4,4,0,3,3,4,4,3,3,0,1
3580,1,0,0,5,5,1,5,5,5,3,5,0,1,0
3584,0,5,1,5,5,1,2,4,1,1,5,4,1,0
3592,1,4,0,4,5,1,5,5,5,5,4,4,1,0
3614,0,4,0,1,4,2,4,4,3,4,4,4,1,0
3627,1,0,0,0,4,1,5,4,2,2,3,5,1,0
3643,0,5,0,5,2,2,2,1,5,5,2,1,1,0
3652,0,2,0,3,1,0,1,3,3,3,1,1,1,0
3663,0,4,0,4,1,0,4,4,4,2,4,3,0,1
3673,0,4,0,3,2,0,4,4,3,2,4,4,0,1
3674,0,0,1,0,3,1,4,2,2,2,5,4,1,0
3680,1,5,0,5,4,1,1,5,4,4,4,5,1,0
3682,0,3,0,4,3,0,3,3,4,2,3,3,0,1
3691,0,4,1,4,5,0,4,5,5,4,4,4,0,1
3699,1,0,0,0,3,1,1,1,4,4,4,4,1,0
3722,0,2,0,2,2,1,3,4,2,2,4,1,1,0
3723,0,3,0,4,4,1,5,1,5,3,2,3,1,0
3725,1,0,0,0,3,1,3,4,5,5,4,3,1,0
3727,0,2,0,1,5,0,2,2,2,5,2,2,1,0
3736,0,3,0,3,2,0,3,3,3,4,3,3,0,1
3741,1,4,0,4,3,1,5,5,2,2,4,4,1,0
3745,0,5,1,5,1,1,1,5,2,2,1,3,1,0
3746,0,3,0,4,4,0,3,3,4,1,3,3,0,1
3747,0,4,0,4,4,1,4,4,3,3,4,4,0,1
3767,1,5,0,4,4,1,3,5,4,4,2,5,1,0
3769,0,3,0,4,1,0,3,3,4,3,3,2,0,1
3772,1,5,0,5,3,1,5,5,3,4,3,2,1,0
3774,0,3,0,4,4,0,3,3,3,3,3,3,0,1
3780,0,4,1,4,1,0,5,4,4,4,1,5,1,0
3781,0,4,1,4,5,0,4,4,1,1,3,5,1,0
3800,0,4,1,4,2,1,2,4,1,1,1,4,1,0
3803,0,4,0,4,5,1,2,2,4,4,1,3,1,0
3806,0,3,0,4,4,0,3,3,4,3,3,3,0,1
3809,0,4,0,4,4,0,4,3,4,4,3,5,0,1
3815,0,4,0,4,4,2,2,1,5,4,3,3,1,0
3819,0,4,0,4,3,2,4,4,3,1,4,4,1,0
3841,0,3,0,3,4,0,3,3,3,3,3,5,0,1
3869,0,2,0,1,2,0,4,4,1,4,4,4,1,0
3871,0,2,0,1,2,0,5,4,2,2,5,5,1,0
3877,0,1,0,2,2,0,5,5,1,2,5,5,1,0
3882,1,0,0,0,4,1,5,5,1,1,5,3,1,0
3897,0,4,0,4,2,1,1,4,4,4,2,1,1,0
3906,0,4,1,4,4,1,5,5,3,3,4,3,0,1
3918,0,2,1,2,5,0,5,5,4,4,3,2,1,0
3921,1,5,0,5,3,1,5,5,1,2,5,4,1,0
3929,0,4,0,4,4,2,1,1,5,4,5,3,1,0
3933,0,4,0,4,5,2,2,1,5,4,3,2,1,0
3938,0,4,0,2,1,1,5,5,3,4,5,4,0,1
3944,0,3,0,4,2,1,4,4,3,3,2,1,1,0
3951,0,4,0,4,4,1,4,4,4,4,5,3,0,1
3972,0,4,0,4,5,1,3,1,3,3,1,4,1,0
3977,0,0,0,0,5,2,4,2,3,3,3,5,1,0
3978,0,3,0,3,4,1,3,2,3,3,4,2,1,0
3981,1,5,0,5,5,1,2,3,1,1,5,5,1,0
3982,1,4,0,4,2,1,3,4,3,3,4,4,1,0
3985,0,3,0,3,4,0,4,3,3,3,2,3,0,1
3992,0,4,1,4,3,1,4,4,2,2,4,5,1,0
3996,0,4,1,4,4,0,5,5,3,3,5,4,0,1
3998,0,5,1,0,4,1,4,5,1,1,3,4,1,0
4018,0,2,1,2,4,0,5,5,5,4,3,5,0,1
4039,0,4,0,4,2,1,4,4,3,1,4,4,0,1
4040,1,5,0,5,5,2,4,4,4,4,5,4,1,0
4047,0,0,0,1,3,0,4,5,1,1,3,5,1,0
4050,0,0,0,5,4,0,1,1,4,4,1,1,1,0
4052,0,2,0,2,5,0,4,3,2,2,5,2,1,0
4061,0,4,1,4,4,0,5,4,2,2,3,2,1,0
4066,0,2,0,1,2,0,2,2,2,3,2,2,1,0
4076,1,4,0,5,5,1,2,2,4,5,2,4,1,0
4082,0,4,1,5,4,1,4,4,1,1,4,2,1,0
4083,0,3,1,3,4,0,5,5,4,4,3,3,0,1
4085,0,2,0,1,1,0,4,4,5,1,4,4,1,0
4090,0,4,0,4,3,1,4,3,4,4,2,4,0,1
4099,0,4,0,1,5,1,4,4,1,4,4,4,1,0
4122,0,4,0,3,4,0,4,4,4,3,4,4,0,1
4127,0,0,0,1,1,0,5,5,2,1,5,5,1,0
4130,0,3,0,2,1,0,5,4,2,2,4,5,1,0
4136,0,0,0,0,2,1,1,3,2,2,2,2,1,0
4138,0,3,0,1,4,1,4,4,1,4,4,3,1,0
4144,0,4,0,3,3,0,4,4,4,4,4,4,0,1
4153,0,3,0,3,3,0,3,1,3,3,5,1,1,0
4164,0,2,1,2,4,0,4,5,4,4,4,5,0,1
4178,0,4,1,5,1,1,1,5,4,4,1,1,1,0
4184,1,4,0,4,3,1,4,3,4,4,3,1,1,0
4210,1,5,0,4,1,1,3,3,5,5,2,4,1,0
4226,0,4,0,3,4,0,4,4,4,2,4,4,0,1
4234,0,4,0,4,4,0,3,4,4,4,2,5,0,1
4252,0,4,0,4,4,1,3,3,2,4,4,4,0,1
4254,0,3,0,4,3,0,3,3,4,1,3,3,0,1
4275,1,5,0,5,4,1,5,5,1,1,5,2,1,0
4279,0,4,0,4,3,0,4,4,3,2,4,4,0,1
4285,1,5,0,4,4,0,1,1,5,1,1,5,1,0
4289,1,0,0,0,5,1,4,4,4,4,3,4,1,0
4302,0,1,0,4,1,0,3,3,2,2,3,2,1,0
4304,0,4,0,4,2,0,4,4,3,2,4,4,0,1
4306,0,3,0,2,3,0,5,4,2,2,3,4,1,0
4311,1,5,0,5,4,1,4,4,1,5,3,4,1,0
4312,0,0,1,0,4,0,4,5,2,2,5,4,1,0
4321,0,0,1,0,4,0,4,4,3,3,4,3,1,0
4322,0,3,1,3,5,0,5,4,5,5,3,5,0,1
4324,1,4,0,4,4,1,4,3,1,1,5,2,1,0
4328,0,5,0,5,1,2,1,1,5,5,4,2,1,0
4335,0,3,1,3,5,0,4,5,5,5,4,4,0,1
4336,0,4,1,4,5,1,5,5,2,4,5,4,0,1
4337,0,3,0,3,2,2,2,4,3,3,2,3,1,0
4339,1,5,0,5,3,1,3,1,5,5,4,4,1,0
4342,0,2,1,2,5,0,5,5,4,4,5,5,0,1
4375,1,4,0,2,4,1,5,2,3,3,3,1,1,0
4400,0,3,0,3,3,0,4,3,3,3,3,4,0,1
4417,0,2,0,2,4,1,4,4,1,1,5,1,1,0
4430,0,3,0,4,3,0,3,3,3,4,3,3,0,1
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4453,0,3,0,5,3,0,1,1,4,3,1,2,1,0
4462,0,0,0,4,4,0,1,1,5,4,1,1,1,0
4516,0,4,0,3,3,1,4,4,4,3,4,4,0,1
4520,0,3,1,3,4,0,4,5,3,3,4,4,0,1
4522,0,3,0,3,2,0,4,4,3,3,3,4,0,1
4528,0,4,0,4,1,2,2,5,4,4,2,3,1,0
4530,0,4,1,4,2,1,5,5,5,5,5,4,0,1
4537,1,5,0,5,5,1,5,4,2,2,4,2,1,0
4546,0,4,1,4,5,0,5,5,5,5,5,2,0,1
4561,0,0,1,0,5,0,5,4,2,4,3,3,1,0
4563,0,3,0,4,4,0,2,3,4,3,2,2,0,1
4565,0,0,0,3,4,0,5,2,3,3,1,2,1,0
4585,0,2,0,2,4,1,5,3,2,2,3,2,1,0
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4600,0,4,1,4,3,1,2,3,2,2,1,5,1,0
4607,0,3,1,2,4,0,5,4,5,5,5,2,0,1
4612,0,1,1,1,5,0,5,3,5,5,4,5,0,1
4613,0,0,0,5,1,1,2,2,1,2,2,2,1,0
4614,0,4,0,3,2,0,3,4,4,3,3,3,0,1
4619,0,4,0,4,3,0,4,4,3,3,4,4,0,1
4620,1,4,0,4,5,1,4,5,3,3,1,4,1,0
4624,0,4,1,4,3,1,5,4,2,2,4,2,1,0
4631,0,4,0,4,4,0,4,3,4,4,1,4,0,1
4632,0,4,0,3,1,0,4,4,4,2,4,4,0,1
4640,1,5,0,5,4,1,3,3,2,2,1,2,1,0
4642,1,0,0,0,4,1,5,5,4,4,4,2,1,0
4654,0,4,1,3,5,1,1,4,5,5,5,5,0,1
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4675,0,0,1,0,5,1,2,2,1,1,3,4,1,0
4682,0,4,0,3,4,0,4,4,4,3,4,4,0,1
4685,0,4,1,4,3,1,4,5,2,2,4,5,1,0
4693,0,0,0,0,1,2,1,5,2,2,2,2,1,0
4695,1,5,0,5,4,1,5,4,2,2,4,3,1,0
4696,0,0,1,0,4,0,4,5,3,3,5,3,1,0
4711,0,2,0,2,2,2,4,1,2,2,4,4,1,0
4714,0,0,0,3,3,0,2,2,3,1,2,2,1,0
4724,0,4,0,4,3,1,4,4,4,4,1,3,0,1
4734,1,5,0,3,2,1,5,5,4,3,5,5,1,0
4748,0,3,0,3,3,1,4,3,3,3,3,5,0,1
4760,0,4,0,3,5,2,4,4,1,3,4,4,1,0
4761,0,3,1,3,3,0,4,5,5,5,4,5,0,1
4766,0,3,0,3,1,0,3,3,4,4,3,3,0,1
4784,0,3,0,3,4,0,3,3,3,3,4,3,0,1
4787,0,3,0,3,2,0,3,3,4,3,3,3,0,1
4797,1,5,0,5,2,1,2,3,5,5,2,4,1,0
4804,1,4,0,0,3,2,4,4,2,1,2,1,1,0
4811,0,4,0,4,2,2,5,1,4,4,2,4,1,0
4816,0,3,0,3,3,0,4,4,3,3,3,4,0,1
4818,0,2,0,4,3,0,2,2,4,5,2,2,1,0
4823,0,0,1,0,4,0,1,2,1,1,3,1,1,0
4827,0,0,1,0,4,1,2,2,5,5,5,3,1,0
4857,0,2,1,2,3,0,4,5,5,5,5,4,0,1
4859,0,4,0,4,4,1,1,1,4,4,3,2,1,0
4872,0,4,1,1,1,0,5,4,1,1,4,5,1,0
4884,0,4,0,4,1,1,2,2,4,4,2,1,1,0
4900,0,2,0,2,1,0,4,4,1,4,4,4,1,0
4914,0,4,0,4,4,1,3,3,4,4,3,2,0,1
4915,1,5,0,5,5,1,4,5,2,2,5,4,1,0
4919,1,4,0,4,3,1,5,4,2,2,3,2,1,0
4921,0,4,0,5,1,2,1,1,4,4,2,2,1,0
4925,0,0,0,2,4,0,2,2,3,3,2,2,1,0
4926,0,4,0,4,3,0,4,4,4,1,4,4,0,1
4932,0,0,0,4,3,0,1,1,5,5,1,1,1,0
4935,1,4,0,5,5,1,5,4,5,5,4,5,0,1
4976,1,4,0,3,2,1,2,2,3,1,2,4,1,0
4979,0,4,0,4,4,1,4,3,4,4,1,5,0,1
4996,0,4,1,4,1,1,1,4,5,5,3,4,1,0
5000,0,4,0,1,1,0,5,4,2,1,5,4,1,0
5001,0,5,1,5,2,1,1,1,3,3,1,3,1,0
5002,0,3,1,3,5,0,4,4,5,5,5,2,0,1
5006,0,0,1,0,3,1,5,2,3,4,5,3,1,0
5013,0,3,0,3,3,2,2,2,3,3,2,3,1,0
5015,0,3,0,2,2,0,4,4,3,3,3,5,0,1
5021,0,4,0,4,2,2,1,2,4,4,4,2,1,0
5027,0,4,0,4,4,1,3,3,4,4,3,2,0,1
5029,0,3,0,3,3,1,2,5,3,3,1,5,1,0
5036,0,2,0,1,1,0,4,4,2,1,4,4,1,0
5042,0,4,1,4,3,1,4,3,1,1,3,4,1,0
5069,0,4,0,4,3,0,3,4,4,4,2,4,0,1
5076,0,4,1,4,5,1,5,4,1,2,4,2,1,0
5090,1,5,0,5,5,1,5,5,2,2,3,5,1,0
5093,0,0,0,1,5,0,1,1,2,5,1,1,1,0
5147,0,0,0,0,2,1,5,5,3,3,5,1,1,0
5166,0,4,0,4,3,0,4,4,4,2,4,4,0,1
5167,0,4,1,4,3,0,4,4,2,2,3,5,1,0
5179,0,3,0,4,1,0,3,3,4,3,3,3,0,1
5182,0,3,0,3,4,0,3,3,3,2,3,3,0,1
5186,0,3,0,3,2,0,3,3,4,4,3,3,0,1
5187,0,0,1,0,5,0,5,4,1,1,3,2,1,0
5189,0,4,1,4,4,0,5,5,1,1,4,4,1,0
5197,0,4,0,2,1,1,4,4,2,1,4,4,1,0
5204,1,5,0,5,5,1,2,3,2,2,4,3,1,0
5206,0,1,0,1,1,0,4,4,4,1,4,4,1,0
5218,0,0,0,4,4,0,1,1,4,3,1,1,1,0
5221,0,0,0,0,1,1,4,3,3,3,4,1,1,0
5228,0,4,1,4,2,1,1,4,5,5,1,2,1,0
5229,0,3,0,2,2,0,4,4,2,2,2,4,1,0
5234,0,3,1,3,4,0,4,4,5,5,5,2,0,1
5242,1,4,0,4,5,1,5,5,3,3,5,5,1,0
5250,0,3,0,3,3,0,1,3,3,3,4,4,0,1
5256,0,4,0,3,3,0,4,4,4,2,4,4,0,1
5260,0,3,0,3,3,0,3,3,3,3,3,3,0,1
5261,1,5,0,5,2,1,3,3,1,1,3,3,1,0
5263,0,2,0,4,4,0,2,2,4,4,2,2,0,1
5282,0,2,0,2,5,1,4,4,2,2,5,4,1,0
5283,0,0,1,0,3,0,5,4,4,4,3,2,1,0
5292,0,0,1,1,4,1,4,4,5,5,3,4,1,0
5297,0,3,0,3,4,0,3,3,3,3,3,3,0,1
5298,1,4,0,4,4,1,4,5,5,5,4,5,1,0
5300,0,0,1,0,5,0,5,4,3,2,3,4,1,0
5306,1,5,0,0,3,2,3,3,1,1,4,5,1,0
5314,0,3,0,4,4,0,3,3,3,3,3,3,0,1
5318,1,5,0,0,3,1,2,2,1,1,1,3,1,0
5326,0,4,0,4,4,0,1,1,4,4,1,2,1,0
5327,0,3,0,3,2,0,4,3,3,3,3,4,0,1
5335,0,4,0,4,3,0,4,4,4,2,4,4,0,1
5343,0,4,0,3,1,0,2,2,4,4,4,3,0,1
5362,0,3,0,3,3,1,4,3,3,3,1,1,1,0
5378,0,4,1,4,3,1,1,4,4,4,4,2,1,0
5382,0,4,0,4,5,1,2,1,4,4,1,3,1,0
5402,0,4,0,4,3,1,1,2,4,4,2,1,1,0
5407,0,4,0,2,3,0,3,4,2,2,2,2,1,0
5415,0,4,0,4,2,1,4,4,3,2,4,4,0,1
5439,0,2,0,2,4,1,1,2,2,2,2,5,1,0
5490,0,4,0,4,1,0,4,4,3,1,4,4,0,1
5494,0,4,0,3,3,0,1,1,5,3,1,2,1,0
5502,0,4,1,4,3,1,2,1,5,5,1,5,1,0
5505,0,0,0,2,1,0,5,1,2,2,3,3,1,0
5511,0,4,0,4,4,0,2,4,4,4,2,3,0,1
5527,0,0,1,0,4,0,5,4,3,3,4,2,1,0
5532,0,3,0,3,5,1,4,2,3,3,2,5,1,0
5540,0,4,0,4,4,1,4,1,4,4,5,1,0,1
5542,1,0,0,0,3,1,4,4,4,2,4,1,1,0
5549,0,0,1,0,5,0,4,5,1,1,4,5,1,0
5553,0,5,1,5,1,2,4,3,3,3,3,4,1,0
5555,0,4,0,2,4,0,5,5,1,1,3,4,1,0
5569,0,4,0,3,1,0,3,4,3,4,3,3,0,1
5578,1,4,0,4,5,1,4,4,2,2,4,4,1,0
5590,1,2,0,5,5,0,5,5,5,4,5,2,0,1
5605,0,4,0,4,4,0,4,4,4,2,4,4,0,1
5608,0,4,0,4,2,0,4,3,4,4,1,3,0,1
5610,0,4,0,4,1,1,4,2,4,4,3,2,1,0
5616,0,1,0,4,2,0,3,4,1,4,3,4,0,1
5619,0,5,1,5,5,1,4,4,1,2,3,2,1,0
5642,0,4,0,3,3,0,4,4,4,1,4,4,0,1
5644,0,4,1,4,4,2,3,3,2,2,1,1,1,0
5657,1,0,0,0,5,1,5,4,2,2,5,3,1,0
5670,0,0,1,0,4,0,5,4,3,5,4,2,1,0
5671,0,4,1,4,2,1,3,2,4,4,2,1,1,0
5672,0,3,1,3,5,0,4,5,5,5,4,5,0,1
5675,0,3,1,3,5,0,4,5,4,4,3,5,0,1
5695,0,4,0,4,3,0,4,4,4,4,4,4,0,1
5704,0,4,0,4,3,2,1,5,4,4,2,4,1,0
5706,0,3,0,3,2,1,4,4,3,3,4,5,0,1
5717,0,3,1,3,3,0,4,4,5,5,5,5,0,1
5721,1,0,0,0,5,1,5,4,2,2,4,2,1,0
5732,1,5,0,5,3,1,5,4,4,4,5,2,1,0
5742,0,4,1,4,3,0,3,4,5,5,1,5,0,1
5747,1,0,0,0,3,1,5,4,4,4,5,2,1,0
5752,0,0,0,5,4,0,1,1,4,4,1,1,1,0
5766,0,3,1,3,5,0,4,5,5,3,3,5,0,1
5773,1,0,0,0,3,1,4,3,4,2,4,5,1,0
5776,0,4,0,4,2,1,4,4,4,1,4,4,0,1
5790,0,4,0,2,2,0,4,4,2,2,4,4,0,1
5796,0,4,1,4,1,1,4,1,4,4,5,3,1,0
5800,0,0,1,0,4,0,4,5,3,3,4,3,1,0
5808,0,4,0,3,4,0,4,4,4,4,4,4,0,1
5809,0,4,0,4,2,2,5,1,4,4,2,4,1,0
5813,0,4,1,4,3,1,5,1,5,2,3,3,1,0
5829,0,3,0,4,4,0,3,3,3,4,3,3,0,1
5832,0,4,1,4,3,1,3,1,1,1,1,4,1,0
5833,0,1,0,3,4,1,5,5,4,2,5,1,0,1
5836,0,4,0,4,4,2,4,4,4,1,4,4,1,0
5842,1,0,0,0,4,1,4,2,2,2,2,2,1,0
5864,0,2,1,2,5,0,4,4,5,5,3,4,0,1
5875,0,4,0,3,2,1,4,4,3,3,4,4,0,1
5879,0,3,0,4,2,0,3,3,3,2,3,3,0,1
5883,0,3,0,3,3,0,2,2,3,3,4,5,0,1
5904,0,4,0,4,1,1,4,4,4,2,4,4,0,1
5907,0,0,0,4,3,0,1,1,5,5,1,1,1,0
5910,0,2,1,2,4,0,5,5,3,3,5,5,0,1
5911,0,1,0,2,2,0,4,4,2,2,4,4,1,0
5918,1,4,0,4,5,1,4,4,5,5,4,4,1,0
5927,0,0,1,0,3,0,5,5,4,4,5,3,1,0
5939,0,4,0,4,1,1,4,4,3,2,4,4,0,1
5944,0,0,1,0,4,0,4,5,3,3,3,2,1,0
5951,0,2,0,4,4,0,4,2,3,4,4,4,0,1
5959,0,4,0,4,1,1,1,2,4,4,4,1,1,0
5962,1,4,0,4,3,1,5,4,5,3,5,5,1,0
5973,0,4,0,4,4,1,3,1,4,4,1,3,1,0
5974,0,4,1,4,5,0,5,5,2,2,3,2,1,0
5976,0,4,1,4,2,1,5,5,3,3,5,4,0,1
5977,0,0,0,5,3,0,1,1,4,3,1,1,1,0
5984,0,4,0,4,2,1,2,3,4,4,1,1,1,0
5993,0,4,0,3,2,1,3,3,4,4,4,3,0,1
5995,0,4,1,4,5,0,4,5,5,5,5,2,0,1
5998,0,4,1,4,4,0,5,5,1,1,4,4,1,0
6000,0,3,0,3,3,1,3,4,3,3,4,5,0,1
6017,0,4,1,4,5,1,5,4,5,5,4,3,0,1
6021,0,4,1,4,3,1,4,4,4,4,4,3,0,1
6026,0,5,0,4,3,1,4,4,5,5,3,4,0,1
6027,0,3,1,5,4,1,2,3,4,4,5,4,0,1
6031,0,2,0,4,3,0,3,2,3,3,3,3,0,1
6035,0,4,0,2,2,0,4,4,3,4,4,4,0,1
6038,0,4,1,4,4,0,1,3,5,5,4,1,1,0
6056,0,4,0,4,3,0,3,4,4,4,3,2,0,1
6065,0,0,0,1,5,0,4,4,2,1,4,4,1,0
6066,1,4,0,4,4,1,4,5,1,1,5,3,1,0
6098,0,0,0,5,5,0,1,1,5,3,1,1,1,0
6099,0,1,0,3,3,0,2,2,3,1,2,2,1,0
6106,0,4,1,4,3,1,5,4,2,2,4,5,1,0
6111,0,4,0,4,3,0,4,3,4,4,1,5,0,1
6120,0,2,0,1,2,0,4,4,1,1,4,4,1,0
6136,0,0,1,0,2,1,5,1,3,3,3,4,1,0
6145,0,4,0,4,5,2,4,3,4,4,3,2,1,0
6149,0,3,1,3,5,0,4,4,5,5,4,3,0,1
6158,0,3,1,3,3,0,5,5,5,5,3,5,0,1
6165,0,4,1,4,1,1,2,1,1,1,5,5,1,0
6169,0,3,0,3,4,1,4,4,3,3,3,4,0,1
6173,1,2,0,5,5,0,5,4,5,5,3,5,0,1
6188,0,4,1,4,3,0,5,4,1,1,5,4,1,0
6190,0,4,1,4,3,0,5,4,3,1,3,5,0,1
6209,0,4,0,4,2,0,3,3,4,4,4,4,0,1
6216,0,4,1,4,4,0,4,5,2,2,4,2,1,0
6225,0,4,0,2,2,0,2,1,2,2,3,1,1,0
6229,0,5,1,5,2,1,3,3,5,5,2,1,1,0
6230,1,4,0,4,5,1,4,4,2,2,4,5,1,0
6231,0,4,1,4,1,0,3,3,4,4,4,5,0,1
6242,0,3,1,3,5,0,5,5,5,5,3,4,0,1
6244,1,0,0,0,5,1,4,4,5,5,3,3,1,0
6256,0,3,0,3,1,2,3,3,1,5,3,3,1,0
6266,1,4,0,4,3,1,4,4,3,3,3,3,1,0
6279,0,3,0,3,3,0,1,3,3,3,4,4,0,1
6302,1,0,0,0,3,1,3,2,3,3,1,1,1,0
6316,0,4,1,4,4,1,5,4,3,3,2,4,1,0
6320,1,5,0,5,4,1,5,5,1,1,3,2,1,0
6333,0,1,0,1,1,0,4,3,3,1,4,4,1,0
6334,0,2,0,2,4,0,4,4,1,1,4,4,1,0
6352,0,4,1,1,1,1,5,5,1,1,3,5,1,0
6361,1,5,0,5,4,1,4,4,1,1,5,4,1,0
6365,1,4,0,5,5,1,5,5,5,5,4,4,0,1
6386,0,4,1,4,3,1,4,1,5,5,4,4,1,0
6396,0,0,1,1,3,1,5,5,5,2,5,3,1,0
6406,0,4,0,4,4,1,1,3,4,4,5,4,0,1
6422,0,0,0,1,4,0,5,4,1,1,3,2,1,0
6427,0,0,0,1,5,1,3,3,5,5,3,1,1,0
6430,1,4,0,4,3,1,4,2,1,1,2,3,1,0
6440,0,3,0,3,4,0,3,3,4,2,3,3,0,1
6442,1,4,0,4,5,1,4,5,2,2,4,3,1,0
6478,1,5,0,4,5,2,4,2,5,1,4,0,1,0
6479,0,1,0,5,3,0,1,1,5,3,1,2,1,0
6489,0,4,0,4,4,0,4,3,4,4,1,1,0,1
6490,0,4,0,2,4,0,4,4,3,3,4,4,0,1
6503,0,3,1,3,5,1,5,5,5,4,4,4,0,1
6512,1,4,0,4,2,1,4,2,4,4,3,5,1,0
6516,0,0,1,0,4,0,5,4,1,1,4,3,1,0
6518,0,0,1,0,4,0,5,4,2,2,3,2,1,0
6524,0,3,0,3,5,1,2,2,3,3,4,5,1,0
6540,1,4,0,5,4,1,4,4,4,4,4,3,1,0
6546,0,2,1,2,5,0,4,5,1,1,5,4,1,0
6548,1,0,0,0,2,2,2,3,4,4,2,5,1,0
6549,0,2,1,2,4,0,4,5,5,4,5,4,0,1
6550,0,4,1,4,1,0,2,1,3,3,5,2,1,0
6557,0,4,0,4,5,1,1,4,3,4,1,4,1,0
6561,0,4,0,3,1,0,4,4,4,3,4,4,0,1
6571,1,0,0,0,3,1,5,4,3,5,3,5,1,0
6575,0,5,0,1,4,0,5,5,1,3,5,4,0,1
6579,1,4,0,4,4,1,5,4,3,3,3,2,1,0
6582,0,5,1,5,3,0,4,4,1,1,3,3,1,0
6584,0,3,0,4,1,0,4,4,3,3,4,5,0,1
6592,0,4,0,4,4,0,4,4,4,4,2,3,0,1
6600,0,3,1,3,3,0,4,5,3,3,4,5,0,1
6609,0,4,1,4,4,0,4,3,4,4,4,5,0,1
6615,0,3,0,3,1,0,4,4,3,3,3,3,0,1
6633,0,4,1,5,3,0,4,4,1,1,3,2,1,0
6644,0,4,0,4,4,1,4,3,4,4,3,4,0,1
6647,1,5,0,5,4,1,4,3,4,4,3,1,1,0
6666,1,5,0,5,4,1,3,1,5,5,3,5,1,0
6698,0,0,1,0,3,0,4,5,3,3,3,4,1,0
6701,0,4,1,5,4,0,4,4,3,3,2,2,0,1
6705,1,4,0,3,1,1,3,3,3,2,3,2,1,0
6720,1,5,0,0,1,1,3,4,1,1,3,3,1,0
6726,1,5,0,5,3,0,2,2,4,3,2,5,1,0
6732,0,4,0,4,4,1,4,1,4,4,1,1,1,0
6746,0,5,1,5,3,0,3,5,1,1,2,1,1,0
6762,0,4,0,2,5,2,4,4,4,1,4,4,1,0
6772,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6774,0,2,0,2,4,1,4,2,2,2,5,1,1,0
6779,0,4,0,4,3,0,4,4,4,4,4,4,0,1
6796,0,4,0,4,1,0,2,2,4,4,3,5,0,1
6800,0,2,0,4,3,0,3,2,4,3,3,3,0,1
6802,0,3,0,3,1,0,4,4,3,3,3,4,0,1
6808,0,0,0,0,3,2,3,1,5,5,2,1,1,0
6811,0,4,1,4,5,0,4,5,5,5,3,5,0,1
6823,0,4,0,4,4,1,3,3,2,1,3,4,1,0
6835,0,4,0,3,2,0,4,4,3,1,4,4,0,1
6843,0,4,1,1,1,1,3,4,1,1,4,4,1,0
6852,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6859,0,4,0,3,4,1,5,5,3,4,5,4,0,1
6864,1,4,0,5,5,1,4,4,4,3,4,4,1,0
6878,0,3,0,3,3,0,3,3,3,3,3,3,0,1
6880,0,4,0,3,2,1,4,4,2,3,4,4,0,1
6885,0,4,0,4,1,2,3,4,4,4,3,4,1,0
6892,0,3,1,3,5,0,4,3,5,5,4,3,0,1
6896,0,3,0,4,3,0,3,3,4,1,3,3,0,1
6898,0,2,0,2,3,1,4,3,3,3,2,1,1,0
6917,0,0,0,4,3,0,1,1,5,5,1,1,1,0
6918,1,5,0,5,4,1,2,2,1,1,3,3,1,0
6922,0,0,1,0,3,0,5,4,3,3,3,2,1,0
6925,0,4,0,4,3,1,4,4,4,4,1,2,0,1
6929,0,4,0,3,4,1,4,4,3,1,4,4,0,1
6941,1,4,0,4,5,0,5,5,5,4,5,4,0,1
6970,0,0,1,0,5,1,5,4,2,2,5,2,1,0
6977,0,4,1,4,4,1,5,4,2,2,3,2,1,0
6978,1,5,0,0,2,1,3,3,3,3,3,4,1,0
6979,1,5,0,5,4,1,4,4,3,2,3,4,1,0
6995,0,3,0,4,5,2,3,3,4,4,3,3,1,0
6997,0,2,1,2,4,0,4,5,4,4,5,5,0,1
7009,0,3,0,3,4,0,3,3,3,3,3,2,0,1
7011,0,3,0,4,4,0,3,3,3,3,3,2,0,1
7013,0,0,1,0,5,0,4,5,1,1,5,3,1,0
7014,0,4,0,3,1,1,4,2,4,4,5,2,1,0
7027,1,4,0,4,3,1,4,5,2,2,5,2,1,0
7042,0,4,0,1,4,2,4,4,2,2,4,4,1,0
7049,1,0,0,3,4,0,1,1,3,1,1,0,1,0
7060,0,5,0,1,3,0,1,1,2,2,1,2,1,0
7067,0,3,0,3,3,0,2,2,3,3,3,5,0,1
7068,0,0,1,0,4,0,5,5,4,4,4,2,1,0
7069,0,4,0,3,4,0,4,4,3,4,4,4,0,1
7071,0,0,1,0,4,0,4,4,4,4,4,3,1,0
7085,1,4,0,4,2,2,4,4,4,3,4,4,1,0
