,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Decision Tree
8493,0,4,1,4,1,1,3,3,3,3,3,1,1,0
8506,0,4,0,4,1,1,4,4,4,1,4,4,0,1
8533,1,4,0,4,1,1,2,2,3,2,2,4,0,1
8572,0,4,1,4,3,1,2,1,3,3,4,4,1,0
8607,0,4,0,4,1,1,4,4,4,4,2,2,1,0
8624,1,4,0,4,3,0,3,3,5,5,3,4,0,1
8625,0,4,1,4,3,0,5,4,3,3,4,5,1,0
8627,0,4,0,4,4,2,3,3,3,4,2,1,0,1
8664,0,4,1,4,3,0,5,5,5,5,3,5,0,1
8704,1,4,0,2,3,1,5,4,4,4,3,4,0,1
8725,1,4,0,5,3,1,1,1,4,4,1,4,1,0
8735,0,4,1,4,3,0,5,4,4,4,3,3,0,1
8741,1,4,0,4,2,1,3,3,1,1,3,5,0,1
8754,0,4,0,3,3,0,4,4,4,2,4,4,1,0
8775,0,4,0,4,4,1,1,4,4,4,3,4,1,0
8809,0,2,1,2,4,0,4,4,1,5,1,2,0,1
8815,1,4,0,4,4,1,4,4,1,1,5,3,0,1
8912,0,4,0,4,4,1,1,2,4,4,1,5,0,1
8918,0,2,1,2,5,0,4,4,3,3,4,3,0,1
8919,0,4,1,4,4,0,5,5,5,5,4,5,1,0
8955,0,4,1,4,3,0,4,4,5,5,5,3,0,1
8965,0,4,0,4,4,0,3,3,4,4,3,4,0,1
8980,0,4,1,4,1,1,3,4,4,2,4,2,1,0
8994,0,2,1,2,3,0,5,4,2,2,5,4,1,0
8997,0,3,1,3,3,0,4,4,3,3,3,4,1,0
9001,0,4,0,4,2,1,3,4,4,4,4,5,1,0
9006,0,4,1,4,5,0,4,5,2,2,3,4,1,0
9046,0,4,0,4,2,2,4,4,4,4,1,5,1,0
9053,0,3,0,3,3,2,3,2,3,3,2,4,1,0
9073,0,4,0,1,4,2,2,3,4,4,2,3,0,1
9088,0,4,1,4,3,1,4,4,4,4,4,4,0,1
9097,0,3,1,3,4,1,5,4,1,1,4,5,1,0
9100,0,2,1,2,5,0,1,5,1,1,3,4,1,0
9115,0,4,0,4,1,1,3,3,4,4,1,4,0,1
9140,1,4,0,4,5,2,4,5,3,3,3,4,0,1
9146,0,1,0,3,1,0,2,1,3,3,5,4,1,0
9151,0,3,0,3,4,1,3,4,3,3,3,5,1,0
9170,0,4,1,3,4,1,4,5,4,4,4,2,0,1
9181,0,3,1,3,4,0,4,4,1,2,3,2,1,0
9184,0,2,0,4,3,1,2,2,4,4,2,2,1,0
9233,0,4,1,4,3,0,4,4,2,2,5,4,1,0
9264,0,4,1,4,3,1,2,4,4,4,5,2,1,0
9267,0,4,1,4,4,0,2,4,3,3,1,4,1,0
9279,0,4,1,4,4,0,5,5,5,4,5,4,0,1
9316,1,4,0,4,3,1,2,2,4,4,2,1,1,0
9340,1,4,0,4,4,1,2,3,2,1,5,1,0,1
9386,1,4,0,4,5,1,4,5,5,5,5,5,1,0
9390,0,3,1,3,5,0,4,5,5,5,4,3,1,0
9408,0,4,1,4,1,1,3,4,3,3,4,3,1,0
9415,1,2,0,3,4,0,3,3,3,2,3,2,0,1
9419,1,4,0,5,4,1,2,2,4,5,2,4,1,0
9472,1,4,0,4,2,2,4,3,4,2,4,4,0,1
9490,0,4,1,4,4,0,4,4,2,2,3,5,1,0
9496,1,4,0,5,1,1,3,3,2,2,2,1,0,1
9529,0,4,0,4,1,2,2,1,4,4,3,5,0,1
9538,1,4,0,4,3,1,4,4,3,3,3,4,1,0
9541,0,4,0,4,4,1,2,4,4,4,3,5,1,0
9542,1,4,0,5,4,1,5,2,4,5,5,0,0,1
9570,0,2,1,2,3,1,5,3,5,1,5,5,0,1
9604,0,4,1,4,4,0,4,4,2,2,4,2,1,0
9669,1,4,0,4,4,1,5,5,3,3,5,3,0,1
9674,1,4,0,4,2,1,5,4,4,4,2,3,0,1
9685,0,4,0,3,3,1,4,4,2,2,4,4,1,0
9735,0,4,1,4,4,0,4,5,4,4,5,3,1,0
9827,0,4,0,4,2,1,3,4,4,4,2,1,1,0
9833,1,4,0,4,4,1,4,5,4,4,4,5,1,0
9834,0,4,0,4,3,1,4,4,3,2,4,4,1,0
9838,0,4,1,4,4,0,5,5,1,1,5,3,1,0
9846,0,4,1,4,5,0,4,5,5,5,4,3,0,1
9872,0,4,0,2,1,0,4,4,4,1,4,4,1,0
9876,0,4,0,1,4,0,4,4,1,1,4,4,1,0
9900,0,3,1,4,3,1,4,4,5,3,4,5,0,1
9912,0,4,1,4,2,1,3,4,2,2,3,4,1,0
9914,0,4,1,4,3,1,3,1,5,3,3,3,0,1
9928,0,4,0,3,4,1,3,3,3,1,3,4,0,1
9930,1,4,0,5,4,1,4,4,2,2,3,5,0,1
9932,0,2,0,2,1,2,2,2,1,4,2,2,1,0
9946,0,3,1,3,5,0,5,5,4,4,5,3,0,1
9970,1,4,0,4,1,2,2,3,1,1,5,3,0,1
10030,1,4,0,4,1,1,4,4,4,4,2,4,0,1
10050,1,4,0,4,1,1,3,3,3,2,5,5,1,0
10053,1,4,0,4,4,1,4,3,4,4,5,5,0,1
10122,0,4,1,4,4,1,5,1,5,5,1,2,1,0
10153,0,4,1,4,3,1,1,3,3,3,2,3,0,1
10160,0,3,1,3,2,1,4,4,5,5,2,4,1,0
10162,1,4,0,4,5,1,4,4,3,3,5,3,0,1
10171,0,3,0,2,2,1,3,3,3,1,3,3,1,0
10173,1,4,0,4,4,1,2,5,4,4,4,3,0,1
10185,1,4,0,4,5,1,4,5,3,3,1,2,1,0
10186,0,4,1,4,5,1,1,2,5,5,2,3,0,1
10195,1,4,0,3,3,1,5,5,2,3,5,4,1,0
10205,0,4,0,4,3,1,4,4,4,4,4,3,0,1
10264,0,4,0,4,3,1,4,3,4,4,1,1,1,0
10284,0,4,0,4,3,0,4,4,3,3,4,3,1,0
10317,0,4,1,4,4,1,4,4,5,3,5,4,1,0
10322,1,4,0,5,5,1,5,5,4,5,5,4,1,0
10336,0,4,1,4,5,0,4,4,3,3,4,2,1,0
10363,0,4,1,4,5,2,5,1,4,2,2,5,1,0
10388,0,4,0,4,2,0,4,4,4,4,1,3,1,0
10390,1,4,0,3,3,1,4,5,1,1,3,2,0,1
10398,0,4,1,4,5,0,5,5,3,3,3,2,0,1
10418,0,1,0,4,3,0,2,2,3,3,5,4,1,0
10428,0,3,0,3,3,2,2,1,3,3,1,1,1,0
10438,0,4,1,4,5,0,4,5,4,4,5,3,1,0
10453,1,4,0,4,4,1,1,1,4,4,1,4,1,0
10459,0,4,0,1,1,1,4,4,2,1,4,4,1,0
10462,1,4,0,4,5,2,4,5,5,5,1,4,0,1
10499,0,4,0,3,3,2,4,4,2,2,4,4,1,0
10504,1,4,0,4,3,1,3,3,5,5,4,1,0,1
10521,0,1,1,1,1,0,3,4,2,3,3,3,0,1
10570,0,4,0,4,4,2,2,4,4,4,5,3,0,1
10595,1,4,0,2,4,1,4,4,2,4,4,4,1,0
10635,0,2,1,2,4,0,5,4,1,1,5,5,1,0
10661,0,4,0,4,3,2,1,1,4,4,3,2,1,0
10716,0,4,1,5,5,0,4,5,4,4,3,4,1,0
10719,1,4,0,4,3,1,5,1,4,3,5,4,1,0
10756,1,4,0,4,1,2,4,3,4,4,3,4,1,0
10764,1,4,0,4,1,0,3,3,5,5,4,5,0,1
10778,0,4,0,4,4,1,4,4,3,4,4,4,0,1
10797,0,4,0,4,2,1,4,4,3,4,4,4,0,1
10799,0,4,0,3,4,1,4,4,3,3,4,4,1,0
10824,0,4,0,4,4,0,3,3,4,4,3,3,0,1
10826,1,4,0,4,4,1,3,3,5,5,4,2,1,0
10855,1,4,0,1,5,1,2,4,2,1,2,4,1,0
10856,0,4,1,4,5,0,5,4,3,3,5,4,0,1
10859,1,4,0,4,5,1,5,5,1,1,5,3,1,0
10863,1,4,0,4,3,1,5,5,2,2,3,2,0,1
10924,0,3,0,4,4,1,3,5,5,3,5,1,1,0
10942,0,3,1,3,3,1,5,2,1,1,3,1,0,1
10960,0,4,1,5,4,0,4,4,2,2,3,4,1,0
10976,0,4,1,4,4,0,5,5,1,4,3,4,1,0
10983,0,4,0,4,3,1,3,3,5,5,4,5,0,1
10989,0,4,1,4,3,1,4,5,4,4,5,2,0,1
10990,1,4,0,4,3,1,4,5,1,1,3,5,0,1
10991,1,4,0,3,3,1,4,4,3,3,3,1,0,1
11094,0,4,0,4,4,2,3,3,3,4,3,4,0,1
11126,0,2,1,2,3,0,4,4,1,1,3,2,1,0
11137,0,4,0,4,4,1,3,3,4,4,1,1,1,0
11148,1,4,0,4,2,1,3,2,3,3,2,5,1,0
11150,0,5,0,4,4,0,3,3,5,5,3,5,0,1
11159,0,3,0,2,2,1,3,3,4,3,3,3,1,0
11164,1,4,0,4,2,1,3,4,4,4,1,5,0,1
11173,0,5,0,4,4,0,4,3,4,4,4,2,1,0
11199,1,4,0,1,1,1,5,5,5,1,5,2,0,1
11203,0,4,1,3,3,1,1,4,5,5,5,2,1,0
11243,0,4,1,4,4,1,1,3,3,3,3,1,0,1
11258,1,4,0,4,4,1,5,4,5,5,5,2,0,1
11291,1,4,0,4,3,1,4,2,4,4,1,1,0,1
11304,0,2,0,3,4,0,2,2,2,3,2,2,1,0
11315,0,3,1,3,5,0,5,4,5,5,4,5,1,0
11318,1,4,0,0,2,1,4,4,2,2,1,4,0,1
11329,1,4,0,4,5,1,5,5,1,1,3,5,1,0
11333,1,4,0,5,3,1,4,4,5,5,2,5,0,1
11374,0,4,1,4,3,1,1,1,4,4,4,4,1,0
11414,0,5,0,4,2,0,3,4,5,5,2,5,0,1
11416,1,4,0,4,3,1,4,5,5,5,5,2,1,0
11434,0,3,0,4,2,0,3,3,2,1,3,4,1,0
11469,0,4,1,4,3,1,2,2,4,4,4,3,1,0
11496,1,4,0,4,1,1,3,4,5,5,1,5,0,1
11597,1,4,0,4,1,1,3,3,1,1,3,5,0,1
11616,0,4,0,4,1,1,2,2,3,3,1,3,0,1
11620,0,4,1,4,4,0,3,3,1,1,3,2,0,1
11622,0,2,0,3,4,0,2,2,4,3,2,2,1,0
11633,0,4,1,4,4,1,4,5,1,1,3,4,1,0
11639,1,4,0,1,1,1,3,5,1,1,5,4,1,0
11650,1,4,0,4,1,0,4,3,2,1,1,5,1,0
11672,0,4,1,4,3,0,3,2,4,4,3,5,0,1
11706,1,4,0,5,5,1,5,3,5,4,5,4,1,0
11747,1,4,0,4,4,1,5,4,3,3,4,3,1,0
11811,0,4,0,4,3,1,4,4,3,2,4,4,1,0
11816,1,4,0,4,5,1,4,5,1,1,4,2,1,0
11830,0,3,0,3,4,0,1,1,3,3,4,5,0,1
11835,0,4,1,4,3,1,5,4,5,5,3,2,1,0
11856,0,4,0,4,3,1,4,4,4,2,4,4,1,0
11905,0,4,0,4,3,1,2,2,4,4,4,2,1,0
11915,0,3,0,3,4,0,4,4,3,3,3,4,1,0
11938,1,4,0,4,3,1,3,3,5,5,1,2,0,1
11956,0,4,1,4,5,0,4,4,3,3,4,3,1,0
11958,1,4,0,4,1,1,5,2,1,1,2,2,0,1
11975,0,4,0,3,1,2,4,4,2,3,4,4,1,0
11978,1,4,0,4,5,1,5,4,4,4,5,3,1,0
11979,1,4,0,4,5,1,4,4,2,2,5,5,0,1
11997,0,2,1,2,3,1,4,5,3,3,5,3,0,1
11999,0,4,1,4,3,1,5,5,5,5,3,5,1,0
12022,0,3,1,3,4,0,4,5,2,2,5,3,0,1
12036,0,4,1,4,5,0,4,4,5,5,3,2,0,1
12037,0,4,1,4,5,1,3,4,3,3,2,1,1,0
12052,1,3,0,3,3,0,3,2,1,3,3,3,0,1
12075,0,4,0,4,3,2,4,4,4,4,4,4,1,0
12077,1,4,0,4,3,1,5,4,4,4,3,3,0,1
12087,0,4,0,4,4,1,1,2,4,4,5,3,1,0
12096,0,4,0,4,4,1,4,4,4,4,4,2,1,0
12139,0,2,0,4,2,0,2,1,4,4,2,2,1,0
12155,1,4,0,4,4,1,4,5,4,4,5,5,0,1
12253,0,4,1,4,1,1,5,5,3,3,4,2,0,1
12290,0,3,0,4,1,2,3,3,4,4,3,3,0,1
12308,0,3,0,3,4,0,1,2,3,3,4,5,0,1
12337,0,4,1,4,1,2,2,4,4,5,5,5,0,1
12363,1,4,0,4,4,1,4,3,4,4,4,3,0,1
12371,0,5,0,3,3,0,5,5,2,3,5,4,0,1
12376,0,2,0,2,2,1,3,1,2,2,3,3,1,0
12406,1,4,0,4,1,1,3,4,1,1,3,1,0,1
12444,0,4,1,4,1,0,3,3,5,3,4,2,0,1
12445,1,4,0,5,2,2,1,4,1,1,5,3,0,1
12449,0,4,0,2,3,0,4,4,4,3,4,4,1,0
12450,0,3,0,4,3,0,3,3,4,3,3,3,1,0
12461,0,4,1,4,5,0,4,4,4,4,3,3,1,0
12472,0,4,1,3,3,0,3,5,3,3,5,5,1,0
12514,1,4,0,3,1,2,4,4,3,4,4,2,1,0
12522,0,4,0,4,4,1,2,2,4,4,1,3,1,0
12548,0,4,0,2,1,1,4,4,2,3,4,4,1,0
12554,1,4,0,3,1,1,4,4,5,1,4,4,1,0
12572,0,3,0,3,3,2,2,2,3,3,1,2,1,0
12574,0,3,0,2,4,0,3,1,2,2,1,2,1,0
12597,1,4,0,2,3,1,5,3,3,2,5,4,0,1
12608,1,4,0,4,3,0,4,4,1,4,3,4,1,0
12628,1,4,0,4,5,1,4,5,1,3,3,3,1,0
12633,0,2,0,3,4,0,2,2,4,3,2,2,1,0
12644,0,5,0,3,4,0,5,5,4,4,5,4,0,1
12686,1,4,0,4,2,1,3,4,5,5,1,2,0,1
12689,0,4,1,4,4,1,4,5,4,4,5,4,0,1
12697,0,4,0,4,2,1,4,4,5,5,3,3,0,1
12732,0,2,1,2,3,0,4,4,1,1,4,5,1,0
12736,0,4,1,4,5,0,5,5,3,3,5,5,0,1
12765,0,2,1,2,5,0,4,4,3,3,4,3,0,1
12773,1,4,0,4,4,1,1,2,3,3,3,3,1,0
12808,1,4,0,4,4,1,3,4,4,4,2,5,0,1
12822,0,4,1,4,5,0,4,4,4,4,3,5,1,0
12823,1,4,0,4,5,1,5,5,2,2,4,5,1,0
12831,1,4,0,4,4,1,3,3,1,1,1,4,0,1
12852,0,1,0,4,4,0,4,1,3,4,4,4,0,1
12857,0,3,0,3,3,1,3,3,3,3,5,1,0,1
12863,1,4,0,4,1,0,4,4,4,3,4,4,1,0
12870,0,4,0,4,4,0,4,4,3,2,4,4,0,1
12881,0,2,0,4,3,0,2,2,4,4,2,2,1,0
12886,0,4,1,4,5,1,5,1,4,4,4,4,0,1
12887,0,3,1,3,4,0,3,4,5,5,4,2,0,1
12938,0,3,0,3,3,1,3,3,4,3,3,3,1,0
12992,0,4,1,4,2,1,4,1,1,1,3,2,0,1
12999,1,4,0,4,1,1,4,4,4,2,1,3,0,1
13023,0,4,0,4,2,0,2,3,4,4,3,5,0,1
13032,1,4,0,4,2,1,4,3,4,3,3,3,1,0
13034,0,2,0,3,3,1,2,2,2,3,2,2,1,0
13035,0,2,1,1,4,0,4,4,4,4,3,3,0,1
13078,1,4,0,4,5,1,4,5,1,1,3,2,0,1
13085,0,3,0,3,4,1,3,4,3,3,3,2,1,0
13105,0,4,1,4,4,0,4,5,4,4,3,4,1,0
13110,1,4,0,4,3,1,3,3,3,2,1,5,1,0
13117,1,4,0,4,2,1,5,5,3,3,2,4,1,0
13134,0,3,0,3,1,0,4,4,3,3,3,2,0,1
13144,0,4,1,4,5,1,4,5,3,5,5,4,0,1
13180,0,3,0,4,2,1,3,3,3,5,3,3,1,0
13188,0,4,1,4,5,0,1,3,3,3,1,5,1,0
13242,1,4,0,4,5,1,5,5,5,5,4,2,0,1
13253,1,4,0,5,5,1,4,4,4,3,4,5,1,0
13264,1,4,0,4,3,1,4,4,4,4,4,3,0,1
13291,0,4,0,2,4,1,4,4,3,4,4,4,1,0
13292,1,4,0,4,4,1,5,5,4,4,5,3,0,1
13297,0,4,1,4,5,0,5,4,4,4,3,3,1,0
13302,1,4,0,4,4,1,3,3,5,5,4,1,0,1
13324,1,4,0,0,1,1,2,2,2,2,3,1,1,0
13358,1,4,0,4,3,1,4,4,3,2,5,4,1,0
13380,0,4,1,4,5,1,4,5,3,3,5,4,1,0
13397,1,4,0,4,1,1,2,5,2,4,3,5,0,1
13425,0,4,1,4,5,0,4,5,1,1,4,5,0,1
13441,0,4,1,5,3,0,4,5,3,3,5,3,1,0
13474,0,4,1,4,5,1,5,5,2,3,4,5,1,0
13513,0,3,0,3,1,0,4,4,3,3,4,5,0,1
13534,1,4,0,4,1,2,3,3,2,2,1,1,1,0
13565,0,3,1,3,4,0,4,4,1,1,5,4,1,0
13592,0,4,1,4,4,1,4,3,2,2,1,1,1,0
13595,0,3,0,4,1,0,3,3,2,1,3,4,1,0
13601,0,4,0,4,4,0,3,4,4,4,5,4,1,0
13640,1,4,0,4,5,1,5,4,5,4,5,3,1,0
13661,0,1,1,3,3,1,1,4,3,3,5,3,0,1
13712,0,4,1,4,3,0,4,3,2,2,3,3,0,1
13717,0,4,1,4,3,1,2,2,5,1,3,4,1,0
13748,0,4,0,2,3,1,4,4,2,3,4,4,1,0
13772,1,4,0,3,1,1,4,3,4,5,2,3,1,0
13784,0,4,1,4,4,0,5,4,4,4,4,5,0,1
13802,0,4,1,4,4,0,3,3,4,4,4,2,0,1
13803,0,4,0,4,1,1,4,3,4,4,3,2,1,0
13826,0,4,0,4,4,2,3,4,4,4,1,1,0,1
13831,1,4,0,3,1,1,5,3,1,2,4,2,0,1
13843,0,4,1,4,2,1,3,5,2,5,1,1,0,1
13863,0,4,0,3,4,1,4,4,4,1,4,4,0,1
13878,1,4,0,4,2,2,3,2,4,4,1,2,0,1
13882,0,4,0,3,3,0,4,3,4,3,3,5,0,1
13929,1,4,0,4,3,2,4,4,4,4,4,5,0,1
13943,0,4,1,4,2,1,5,2,4,3,5,1,0,1
13948,0,3,0,3,4,0,3,3,4,2,3,4,0,1
13957,0,4,0,3,1,1,4,4,4,2,4,4,1,0
13984,1,4,0,3,2,0,1,1,4,1,1,4,0,1
14006,0,2,0,3,3,0,4,4,2,2,4,3,0,1
14023,0,4,0,2,4,0,3,3,4,1,3,3,1,0
14042,0,4,0,4,4,0,4,4,3,2,4,4,0,1
14064,0,4,0,4,2,2,4,3,4,4,1,2,0,1
14092,0,3,0,3,5,1,1,2,3,3,1,1,1,0
14132,0,3,0,3,1,1,1,1,4,4,2,4,1,0
14143,0,4,1,4,5,1,5,4,3,3,3,2,1,0
14217,0,4,1,4,3,0,5,5,2,2,4,5,1,0
14220,0,4,1,4,3,1,1,5,2,2,1,4,1,0
14296,0,3,1,3,5,1,1,5,3,3,1,2,0,1
14306,0,4,0,3,3,0,4,4,3,4,4,4,1,0
14371,1,4,0,4,4,2,4,5,5,5,3,2,1,0
14372,0,4,0,2,1,1,4,4,2,3,4,4,1,0
14391,0,4,0,4,3,1,3,1,4,4,4,4,0,1
14392,0,4,1,4,4,0,5,4,1,1,4,5,0,1
14399,0,4,0,3,2,1,4,4,4,2,4,4,0,1
14403,0,4,0,4,3,1,3,4,4,4,1,3,1,0
14429,0,4,1,4,5,0,4,4,1,1,5,4,0,1
14442,1,4,0,2,4,2,1,1,2,4,1,4,0,1
14443,0,4,1,4,5,0,4,4,3,3,5,5,1,0
14487,0,3,1,3,3,0,4,5,2,2,3,5,1,0
14519,0,4,1,4,5,1,5,2,2,2,3,4,0,1
14520,0,4,0,4,4,1,4,2,4,4,5,4,1,0
14523,0,4,1,5,3,1,5,5,2,2,5,5,1,0
14529,1,4,0,4,3,1,4,3,2,1,1,1,0,1
14546,0,4,0,1,1,0,4,4,4,1,4,4,1,0
14547,0,4,0,3,2,1,4,4,4,2,4,4,0,1
14555,0,4,0,4,3,2,2,3,4,4,3,1,1,0
14569,0,4,1,5,3,1,4,5,4,4,3,4,0,1
14573,0,3,0,3,1,2,1,2,3,3,3,5,0,1
14615,0,4,0,4,4,0,4,3,4,4,5,2,0,1
14628,0,4,1,4,5,1,5,2,5,5,3,3,0,1
14635,1,4,0,3,4,0,5,5,5,3,5,4,0,1
14653,0,4,1,4,5,1,5,5,1,1,3,5,0,1
14710,0,4,1,4,4,0,4,5,5,5,3,4,1,0
14714,0,2,0,4,1,2,2,2,4,4,2,2,1,0
14729,1,4,0,4,4,1,4,3,4,4,3,2,1,0
14736,0,4,1,4,3,0,5,5,2,2,3,3,1,0
14744,0,4,0,4,3,1,2,3,4,4,4,2,0,1
14772,1,4,0,4,2,1,2,2,4,4,2,1,1,0
14775,1,4,0,4,5,1,4,5,3,3,4,3,0,1
14800,0,4,0,4,3,0,4,4,4,3,4,4,0,1
14807,1,4,0,5,3,1,3,3,3,3,1,2,0,1
14833,0,1,0,3,4,0,2,2,1,2,2,2,1,0
14835,0,4,0,4,4,0,3,2,4,4,4,3,0,1
14836,0,4,1,3,5,1,2,1,3,3,3,3,0,1
14861,1,4,0,4,3,1,5,5,3,3,3,4,1,0
14901,0,4,0,4,4,0,2,3,4,4,2,2,1,0
14920,0,4,0,4,4,2,2,3,4,4,2,1,1,0
14928,1,4,0,4,5,1,3,2,1,1,1,1,0,1
14931,0,3,0,4,1,2,4,3,1,3,3,3,0,1
14933,1,4,0,3,2,0,4,4,5,1,4,4,1,0
14940,0,4,1,4,4,0,4,3,5,5,3,5,0,1
14944,0,4,0,4,3,0,4,4,4,4,4,3,0,1
14980,0,3,0,3,3,0,3,3,3,3,3,3,1,0
15004,0,3,1,3,4,0,5,5,2,2,3,3,0,1
15024,0,4,0,3,3,1,4,4,4,3,4,4,0,1
15029,1,4,0,2,1,1,2,2,3,4,2,4,1,0
15087,1,4,0,4,1,1,3,3,1,1,4,1,0,1
15108,0,4,1,4,1,1,3,3,3,3,5,4,1,0
15126,0,4,1,4,4,0,4,4,4,4,4,3,1,0
15127,1,4,0,4,4,1,3,3,2,2,4,2,0,1
15136,0,3,0,3,5,1,1,3,3,3,4,2,1,0
15150,1,4,0,4,4,1,3,2,4,4,1,3,1,0
15156,1,4,0,4,4,1,5,4,5,5,5,4,1,0
15159,0,4,0,3,1,1,3,3,2,4,3,4,1,0
15169,1,4,0,4,1,2,2,1,2,2,4,1,1,0
15208,1,4,0,2,4,1,5,5,1,1,3,2,1,0
15210,0,3,1,3,3,0,4,3,1,1,3,3,1,0
15257,0,2,0,2,2,1,3,3,2,2,5,3,1,0
15258,1,4,0,4,3,1,5,5,3,3,3,5,1,0
15269,1,4,0,4,5,1,5,4,1,1,5,3,1,0
15293,1,4,0,3,3,0,4,4,3,4,4,4,0,1
15299,0,3,0,1,2,1,3,3,3,4,3,3,1,0
15334,0,4,1,1,1,0,5,4,1,1,3,4,0,1
15344,0,2,0,2,3,2,2,2,2,4,2,2,1,0
15348,0,2,0,3,1,1,2,2,2,2,2,2,1,0
15351,0,4,1,4,4,0,4,5,1,2,3,2,1,0
15375,1,4,0,4,5,0,3,4,5,5,1,2,1,0
15383,0,3,0,3,3,1,3,4,3,3,2,5,0,1
15388,0,1,1,1,4,1,5,4,5,5,5,4,0,1
15421,1,4,0,4,1,1,4,4,3,3,3,5,0,1
15425,1,4,0,4,3,1,3,3,3,3,2,2,1,0
15427,0,4,1,4,1,1,1,3,4,2,5,4,0,1
15494,1,4,0,4,4,1,4,4,1,1,4,3,0,1
15501,0,4,0,4,3,0,3,3,4,4,3,5,0,1
15504,1,4,0,4,2,1,1,2,2,2,3,2,1,0
15505,1,4,0,4,4,1,3,3,3,1,3,5,0,1
15514,1,4,0,4,5,1,5,4,1,1,4,2,1,0
15528,0,4,1,3,5,0,4,4,3,2,4,4,0,1
15549,1,4,0,4,3,1,4,4,3,3,3,4,1,0
15554,0,2,1,2,4,0,5,4,5,5,5,2,1,0
15568,0,4,0,4,2,1,2,2,4,4,1,3,1,0
15575,1,4,0,4,4,1,4,4,1,1,5,3,0,1
15606,0,4,1,4,5,0,5,4,5,5,4,3,1,0
15614,0,2,0,3,4,0,3,4,2,2,2,1,0,1
15622,0,4,1,4,4,0,5,4,5,5,4,5,1,0
15650,0,4,0,4,2,2,3,3,4,4,1,2,0,1
15658,0,4,1,3,4,0,4,4,2,2,2,4,0,1
15667,0,3,0,2,3,0,3,4,3,3,3,4,1,0
15670,0,3,1,3,3,1,5,2,5,5,4,2,1,0
15671,1,4,0,4,4,1,3,4,1,1,3,3,0,1
15679,1,4,0,4,4,1,3,4,4,4,4,2,0,1
15680,0,2,0,2,2,1,2,4,2,2,5,2,0,1
15727,0,4,0,4,1,1,3,3,4,4,1,4,0,1
15741,1,4,0,4,5,1,4,2,5,5,1,5,0,1
15747,0,2,1,3,3,0,5,5,2,3,5,2,1,0
15777,0,5,0,4,2,0,4,3,5,5,4,4,0,1
15784,0,4,1,4,4,1,1,3,4,4,2,4,0,1
15789,0,4,1,4,4,1,3,4,2,2,2,3,0,1
15803,0,4,1,4,2,1,2,3,3,4,5,3,1,0
15820,1,4,0,4,3,2,4,5,1,1,4,2,1,0
15835,1,4,0,3,3,2,2,2,3,1,2,4,1,0
15846,0,4,1,3,4,1,4,4,3,3,2,2,0,1
15914,0,4,1,4,3,1,1,1,1,1,1,1,0,1
15927,0,4,0,4,2,2,4,4,4,4,1,3,1,0
15933,1,4,0,4,1,1,1,4,1,1,1,2,1,0
15943,0,4,0,4,2,2,2,2,4,4,2,2,0,1
15959,1,4,0,4,3,1,5,4,4,4,3,3,0,1
15968,0,4,0,1,1,1,4,4,2,1,4,4,1,0
15969,1,4,0,3,4,1,3,3,3,4,3,4,1,0
15976,1,4,0,4,3,1,3,4,5,4,1,4,1,0
15981,0,3,1,3,5,0,5,5,4,4,5,3,0,1
16058,0,4,1,4,4,1,4,2,2,2,2,3,1,0
16061,0,3,1,3,3,0,4,4,4,4,5,5,0,1
16080,0,4,1,4,4,1,5,5,4,4,4,2,1,0
16083,0,4,0,4,4,2,2,4,4,4,2,1,1,0
16086,0,4,1,4,5,0,5,5,3,3,4,2,1,0
16114,1,4,0,4,2,2,4,3,3,2,4,4,0,1
16146,0,1,0,2,4,0,1,2,2,2,1,3,1,0
16199,0,4,0,3,4,0,4,4,2,4,4,4,1,0
16219,1,4,0,3,4,1,1,1,4,1,1,4,1,0
16228,0,4,1,4,5,0,4,5,4,4,4,4,1,0
16236,0,4,1,3,5,1,5,1,2,2,3,2,1,0
16253,0,4,0,4,3,1,3,2,4,4,4,2,1,0
16262,1,4,0,4,4,1,3,4,5,5,3,3,1,0
16264,1,4,0,2,4,1,4,4,2,1,4,5,1,0
16295,0,3,0,2,1,0,2,4,2,2,3,4,1,0
16336,0,4,0,4,4,1,1,4,4,4,1,2,1,0
16347,0,4,1,4,4,1,5,4,5,5,5,5,1,0
16402,1,4,0,4,3,1,3,4,5,5,1,2,1,0
16422,0,4,0,3,1,0,4,4,4,3,4,4,1,0
16449,0,4,0,3,4,1,4,4,2,2,4,4,1,0
16483,1,4,0,4,2,1,3,4,5,5,3,2,0,1
16485,0,3,1,4,3,0,4,5,4,4,5,4,0,1
16500,0,4,0,4,2,1,3,3,4,4,3,5,0,1
16520,0,3,1,3,4,1,2,3,2,2,4,2,0,1
16531,1,4,0,4,3,1,3,4,5,5,4,3,1,0
16534,0,4,0,4,4,1,1,4,4,4,1,2,1,0
16589,1,4,0,4,3,1,4,4,3,1,3,2,0,1
16608,1,4,0,4,4,1,4,3,3,3,5,4,1,0
16613,1,4,0,5,3,1,5,4,4,4,3,5,0,1
16619,1,4,0,3,3,2,4,4,5,3,4,4,0,1
16626,0,4,0,4,1,1,5,5,5,4,5,4,1,0
16637,1,4,0,4,3,1,3,3,5,4,4,2,0,1
